,Project Name,Address,Neighborhood,Footage,Project Phase
0,Brooklin,"Rua Georgia, 65","Rua Georgia, 65","Rua Georgia, 65","Rua Georgia, 65"
1,MAC Vila Mariana,"Rua Neto de Araújo, 156","Rua Neto de Araújo, 156","Rua Neto de Araújo, 156","Rua Neto de Araújo, 156"
2,MAC Pinheiros,"Rua Alves Guimarães, 89","Rua Alves Guimarães, 89","Rua Alves Guimarães, 89","Rua Alves Guimarães, 89"
3,Ateliê 365,"Rua Nova York, 365","Rua Nova York, 365","Rua Nova York, 365","Rua Nova York, 365"
4,MAC Ibirapuera,"Av Ibirapuera, 2545","Av Ibirapuera, 2545","Av Ibirapuera, 2545","Av Ibirapuera, 2545"
5,MAC Campo Belo,"Rua Constantino de Sousa, 308","Rua Constantino de Sousa, 308","Rua Constantino de Sousa, 308","Rua Constantino de Sousa, 308"
6,Máden Vila Madalena,"Rua José Augusto Penteado, 70","Rua José Augusto Penteado, 70","Rua José Augusto Penteado, 70","Rua José Augusto Penteado, 70"
7,Máden Vila Madalena – Studios,"Rua Cayowaá, 2284","Rua Cayowaá, 2284","Rua Cayowaá, 2284","Rua Cayowaá, 2284"
8,Írio Golf Garden,"Av. Nossa Senhora do Sabará, 409","Av. Nossa Senhora do Sabará, 409","Av. Nossa Senhora do Sabará, 409","Av. Nossa Senhora do Sabará, 409"
9,IS Vila Buarque,"Rua Rego Freitas, 62","Rua Rego Freitas, 62","Rua Rego Freitas, 62","Rua Rego Freitas, 62"
10,Green Loadd Saúde,"Av. Jabaquara, 1744","Av. Jabaquara, 1744","Av. Jabaquara, 1744","Av. Jabaquara, 1744"
11,IS Perdizes,"Rua Ministro de Godói, 956","Rua Ministro de Godói, 956","Rua Ministro de Godói, 956","Rua Ministro de Godói, 956"
12,Raiz São Paulo Parque Resort,"Rua Pereira Barreto, 159","Rua Pereira Barreto, 159","Rua Pereira Barreto, 159","Rua Pereira Barreto, 159"
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
